"","source","confidence","target","weight"
"1","Myc","A","Tert",1
"3","Smad3","A","Jun",1
"5","Smad4","A","Jun",1
"7","Sp1","A","Aldoa",1
"8","Tp53","A","Igf1r",-1
"9","Zbtb16","A","Ccna2",-1
"10","Stat3","A","Cdkn1a",1
"14","Rela","A","Abcb1a",1
"15","Tp53","A","Cdkn1a",1
"16","Tp53","A","Rb1",-1
"17","E2f1","A","Cdkn1a",1
"18","E2f3","A","Cdkn1a",1
"20","Yy1","A","Nr3c1",1
"23","Tp53","A","Bcl2",-1
"25","Stat4","A","Irf1",1
"26","Wt1","A","Odc1",1
"27","Hnf1a","A","Igf1",1
"28","Stat5a","A","Igf1",1
"29","Ets1","A","Timp1",-1
"31","Arnt","A","Cyp1b1",1
"32","Ahr","A","Cyp1b1",1
"33","Tp53","A","Ccnb1",-1
"35","Stat5a","A","Ccnd1",1
"36","Tp53","A","Mdm2",1
"39","Rbpj","A","Hes1",1
"40","Atf2","A","Ccnd1",1
"41","Jun","A","Ccnd1",1
"44","Nfatc2","A","Il4",1
"45","Hnf4a","A","Gucy2c",1
"46","Rara","A","Sftpb",1
"47","Jun","A","Cdkn1a",-1
"48","Jun","A","Tp53",-1
"49","Stat3","A","Prf1",1
"50","Pparg","A","Serpine1",1
"52","Sp1","A","Faslg",1
"53","Ar","A","Klk1b26",1
"54","Ar","A","Klk1b8",1
"55","Ar","A","Klk1b9",1
"56","Ar","A","Klk1b1",1
"57","Ar","A","Klk1b11",1
"58","Ar","A","Klk1b27",1
"59","Ar","A","Klk1b22",1
"60","Ar","A","Klk1b21",1
"61","Ar","A","Klk1b5",1
"62","Ar","A","Klk1b16",1
"63","Ar","A","Klk1b3",1
"64","Ar","A","Klk1b24",1
"65","Ar","A","Klk1b4",1
"66","Ar","A","Klk1",1
"67","Atf1","A","Cftr",1
"68","Sp1","A","Gast",1
"69","Gata4","A","Nppa",1
"70","Rarg","A","Rarb",1
"71","Rarb","A","Rarg",1
"72","Jun","A","Ccl5",1
"73","Rela","A","Cd40",1
"74","Rela","A","Ifng",1
"76","Esr2","A","Rara",1
"78","Esr1","A","Rara",1
"80","Pax6","A","Krt12",1
"83","Fos","A","Tp53",1
"84","Tp53","A","Fos",1
"86","Sp1","A","Fos",1
"90","Sp1","A","Egr1",1
"93","Myc","A","Eno1",1
"94","Tp53","A","Ccnd1",-1
"95","Creb1","A","Pck1",1
"96","Rela","A","Nos2",1
"97","Nfkb1","A","Nos2",1
"99","Atf4","A","Ddit3",1
"100","Atf4","A","Atf3",1
"101","Atf3","A","Ddit3",1
"107","Smad4","A","Serpine1",1
"108","Smad3","A","Serpine1",1
"110","Tp53","A","Bax",1
"111","Tp53","A","Ccng1",1
"112","Tp53","A","Gadd45a",-1
"113","Stat4","A","Ifng",1
"114","Pparg","A","Lpl",1
"115","Nr5a1","A","Cyp17a1",1
"116","Fos","B","Runx1",0.5
"118","Foxo3","A","Faslg",1
"119","Usf1","A","Fasn",1
"122","Elk1","A","Sod1",1
"123","Fli1","A","Gp9",1
"124","Fli1","A","Itga2b",1
"125","Egr1","A","Elk1",1
"126","Elk1","A","Egr1",1
"133","Cebpa","A","Alb",1
"134","Creb1","A","Ccnd1",1
"135","Jun","A","Il6",1
"137","Hif1a","A","Epo",1
"138","Myc","A","Cdc25a",1
"142","Arnt","A","Epo",1
"143","Tp73","A","Mdm2",1
"144","Tp53","A","Tp73",1
"146","Tp73","A","Cdkn1a",1
"147","E2f4","A","E2f1",-1
"148","Sp1","A","Cdkn1a",1
"149","Ets2","A","Il5",1
"150","Gata3","A","Il5",1
"151","Ets1","A","Il5",1
"152","Sp1","A","Tgfb1",1
"156","Jun","A","Oxtr",1
"158","Rel","A","Il2ra",1
"159","Sp1","A","Ldlr",1
"160","Yy1","A","Ldlr",-1
"161","Cebpa","A","Pck1",1
"162","Wt1","A","Cdkn1a",1
"163","Fos","A","Ercc1",1
"164","Yy1","A","Cxcr4",-1
"165","Myc","A","Cxcr4",1
"166","Usf1","A","Cxcr4",1
"167","Atf2","A","Tnf",1
"168","Jun","A","Tnf",1
"169","Lef1","A","Ccnd1",1
"170","Cebpb","A","Star",1
"171","Nr5a1","A","Star",1
"174","Srf","A","Fos",1
"175","Myc","A","Cdkn1a",-1
"176","Jun","A","Il2",-1
"177","Sox9","A","Mia",1
"178","Irf1","A","Irf2",1
"180","Tp53","A","Litaf",1
"181","Tp53","A","Btg2",1
"182","Sp3","A","Cdkn1a",1
"183","Tp53","A","Pcna",1
"184","Atf2","A","Jun",1
"190","Egr1","A","F3",1
"192","Srf","A","Egr1",1
"194","Hnf4a","A","Serpina1e",1
"195","Hnf4a","A","Serpina1a",1
"196","Hnf4a","A","Serpina1b",1
"197","Hnf4a","A","Serpina1d",1
"198","Hnf4a","A","Serpina1c",1
"199","Jun","A","Csf2",1
"200","Nfatc2","A","Csf2",1
"201","Mef2a","A","Jun",1
"202","Runx2","A","Mmp13",1
"203","Ybx1","A","Mmp13",-1
"204","Pdx1","A","Ins2",1
"205","Hnf1a","A","Hnf4a",1
"206","Hnf4a","A","Hnf1a",1
"207","Hnf1a","A","Ins2",1
"209","Rfx1","A","Pcna",-1
"210","E2f1","A","Dhfr",1
"212","Wt1","A","Thbs1",1
"213","Sp1","A","Igfbp4",1
"216","Myc","A","Tp53",1
"217","Tp53","A","Myc",-1
"219","Nfkb1","A","Tp53",1
"220","Tp53","A","Rela",1
"221","Rela","A","Tp53",1
"222","Foxo1","A","Igfbp1",1
"223","Stat5a","A","Csn2",1
"224","Spi1","B","Utrn",0.5
"225","Ahr","A","Cyp1a1",1
"227","Stat3","A","Socs3",1
"228","Pou2f1","A","Il5",1
"229","Yy1","A","Il5",1
"231","Rara","A","Plau",1
"232","Sp1","A","Plau",1
"233","Lef1","A","Mmp7",1
"234","Spi1","A","Btk",1
"235","Sp1","A","Btk",1
"236","Sp3","A","Btk",1
"237","Sp1","A","Sp3",1
"239","Stat6","A","Il4",1
"243","Egr1","A","Pdgfa",1
"246","Jun","A","Abcb1a",1
"247","Rela","A","Cd40lg",1
"248","Cebpa","A","Sp1",1
"250","Sp1","A","Odc1",1
"252","Myc","A","Brca1",1
"253","Nr5a1","A","Cyp19a1",1
"256","Myc","A","Odc1",1
"259","Mycn","A","Ndrg1",1
"260","Myc","A","Ndrg1",-1
"261","Tp63","A","Cdkn1a",1
"262","Sp1","A","Cyp11a1",1
"266","Creb1","A","Egr1",1
"267","Egr1","A","Abcb1a",1
"268","Wt1","A","Abcb1a",1
"272","Hnf1a","A","Cyp7a1",1
"273","Wt1","A","Bcl2",1
"274","Fos","A","Clu",-1
"275","Fosl1","A","Clu",1
"276","Junb","A","Clu",1
"277","Creb1","A","Th",1
"281","Esr2","A","Oxt",1
"282","Sp1","A","Abcb1a",1
"284","Jun","A","Spi1",1
"285","Hif1a","A","Vegfa",1
"286","Smad4","A","Cdkn1a",1
"287","Esr1","A","C3",1
"288","Egr1","A","Tnf",1
"289","Sp1","A","Fn1",1
"292","Pparg","A","Fabp4",1
"293","Stat5a","A","Bcl2l1",1
"294","Sp1","A","Lep",1
"295","Stat5a","A","Osm",1
"296","Egr1","A","Mmp14",1
"297","Pparg","A","Cd36",1
"298","Cebpb","A","Il6",1
"299","Pax5","A","Cd79a",1
"303","Ets1","A","Parp1",1
"305","Pou2f1","A","H2-Ea",1
"306","Pou2f1","A","P04224",1
"307","Ets1","A","Mgat5",1
"311","Hsf1","A","Hspa4",1
"313","Cebpb","A","Hp",1
"315","Hif1a","A","Tfrc",1
"316","Myc","A","Hspa4",1
"317","Sp1","A","Psen1",1
"318","Nr5a1","A","Nr0b1",1
"319","Nr0b1","A","Nr5a1",-1
"321","Sp1","A","Slc25a5",1
"322","Esr1","A","E2f1",1
"324","Sp1","A","E2f1",1
"327","Tfap2a","A","Cyp11a1",1
"328","Sp1","A","Spi1",1
"332","Sp1","A","Plat",1
"333","Sp3","A","Plat",1
"337","Spi1","A","Il1b",1
"340","Pax5","A","Blk",-1
"341","Srebf2","A","Ldlr",1
"344","Pgr","A","Igfbp1",1
"345","Nr5a1","A","Cyp11a1",1
"346","Hnf1a","A","Ugt1a1",1
"347","Nfkb1","A","Ccnd1",1
"348","Rela","A","Ccnd1",1
"350","Cebpb","A","Il1b",1
"352","Rela","A","Plau",1
"353","Rel","A","Ccl12",1
"354","Rela","A","Ccl12",1
"355","Tp53","A","Mdm4",1
"357","Wt1","A","Mycn",-1
"359","Creb1","A","Jun",-1
"366","Pax3","A","Mitf",1
"368","Rela","A","Tnf",1
"369","Nfkb1","A","Tnf",1
"370","Nfic","A","Cyp1a1",-1
"371","E2f1","A","Rb1",1
"372","Sp1","A","Lhcgr",1
"376","Usf1","A","Pklr",1
"378","Stat3","A","Junb",1
"379","Sp1","A","Ccnd1",1
"381","Tfap2a","B","Esr1",0.5
"382","Esr1","A","Tfap2c",1
"383","Tfap2c","A","Esr1",1
"385","Pax8","A","Tg",-1
"386","Wt1","A","Igf1r",-1
"387","Esr1","A","Ccnd1",1
"390","Sp1","A","Itgav",-1
"391","Sp3","A","Itgav",1
"392","E2f1","A","Ccne1",1
"393","E2f1","A","Ccnd1",1
"394","Yy1","A","Tp53",1
"395","Irf1","A","Ciita",1
"397","Sp1","A","Mmp2",1
"398","Sp3","A","Mmp2",1
"399","Tfap2a","A","Mmp2",1
"400","Etv4","A","Mmp2",1
"401","Atf2","A","Cdkn1a",1
"404","Myc","A","Ccnd2",1
"406","Egr1","A","Fas",-1
"407","Fli1","A","Tgfbr2",1
"408","Sp1","A","Bax",1
"411","Ets1","A","Tp53",1
"413","Ets2","A","Tp53",1
"415","Egr1","A","Nab2",1
"416","Tp53","A","Cdk1",-1
"418","Nr1h4","A","Fabp6",1
"419","Tp53","A","Cdkn1b",1
"422","Tp53","A","Map4",-1
"424","Mef2c","A","Jun",1
"425","Tfap2a","A","Cdh1",1
"427","Stat6","A","Irf1",1
"429","Ppara","A","Ucp1",-1
"430","Pparg","A","Ucp1",1
"431","Epas1","A","Vegfa",1
"433","Cebpb","A","Fos",1
"437","Atf1","A","Il10",1
"438","Creb1","A","Il10",1
"441","Rela","A","Il6",1
"443","Spi1","A","Itgb2",1
"444","Hnf1a","A","Alb",1
"448","Usf1","A","Ccnb1",1
"450","Ar","A","Myc",1
"453","Sp1","A","F3",1
"456","Nfkb1","A","Icam1",1
"457","Nfkb1","A","Vcam1",1
"458","Rela","A","Icam1",1
"459","Rela","A","Vcam1",1
"460","Tp53","A","Ing1",1
"462","Ets1","A","Flt1",1
"463","Cebpe","A","Ltf",1
"464","Irf2","A","Ciita",1
