,CD45+_hematopoietic_cells,Perivascular_myofibroblasts,Sinusoidal_endothelial_cells,Megakaryocytes,Erythroid_lineage,Myofibroblasts,Activated_MSCs_CAR_cells,Vascular_endothelial_cells,Pericytes,Spp1+_Sinusoidal_pericytes,Spp1+_Immune,Spp1+_Osteolineage_cells,sample
CD45+_hematopoietic_cells,0.10620642079594797,0.03460718004898117,0.040860294853649406,0.016758210341191116,0.04734859639341604,0.006857654318020533,0.020671078475778672,0.0053124999174667545,0.004536423307599687,0.003914980985660872,0.02020559097368893,0.006058600452731164,run46_EV_1
Perivascular_myofibroblasts,0.03460718004898117,0.019854197429558205,0.017711106175256244,0.006833488583869491,0.017574827281027418,0.004064993411866247,0.008046661259528628,0.0015635097942532036,0.0018458395189249392,0.002170690371447142,0.007339120256352221,0.0035774530266987786,run46_EV_1
Sinusoidal_endothelial_cells,0.040860294853649406,0.017711106175256244,0.01968913093945546,0.007400921150246689,0.01799185126162299,0.003189612801553368,0.007906156663153172,0.0024262132981261917,0.0021224909563371404,0.0023696945319150115,0.009399282106026564,0.003531366462662092,run46_EV_1
Megakaryocytes,0.016758210341191116,0.006833488583869491,0.007400921150246689,0.0028703081830986177,0.00773409135387007,0.0013037611654275235,0.0032215696740372597,0.0009054887381076197,0.0008003743972101915,0.000769738056647122,0.0034545115048702536,0.0011905915798130814,run46_EV_1
Erythroid_lineage,0.04734859639341604,0.017574827281027418,0.01799185126162299,0.00773409135387007,0.024539972897402857,0.003889890879165255,0.010846188931671188,0.0019555757215452443,0.0020379769134045347,0.001797375997430773,0.008966939955149454,0.003086083098960926,run46_EV_1
Myofibroblasts,0.006857654318020533,0.004064993411866247,0.003189612801553368,0.0013037611654275235,0.003889890879165255,0.0010883824091414615,0.0019752516471654913,0.00018962838383003382,0.00030187359709990064,0.0003336984163917099,0.0012493552502896587,0.0005872405451895267,run46_EV_1
Activated_MSCs_CAR_cells,0.020671078475778672,0.008046661259528628,0.007906156663153172,0.0032215696740372597,0.010846188931671188,0.0019752516471654913,0.005650291982813013,0.000787301131194054,0.0008500263974330972,0.0007973371737923009,0.004287370987332666,0.0015162347514877774,run46_EV_1
Vascular_endothelial_cells,0.0053124999174667545,0.0015635097942532036,0.0024262132981261917,0.0009054887381076197,0.0019555757215452443,0.00018962838383003382,0.000787301131194054,0.0003742387463609442,0.00026186147989899517,0.0002733501076101462,0.0012201714948394933,0.00032907655466883303,run46_EV_1
Pericytes,0.004536423307599687,0.0018458395189249392,0.0021224909563371404,0.0008003743972101915,0.0020379769134045347,0.00030187359709990064,0.0008500263974330972,0.00026186147989899517,0.00022422632015556921,0.00024482661812039186,0.0010606512388042003,0.0003652591292993548,run46_EV_1
Spp1+_Sinusoidal_pericytes,0.003914980985660872,0.002170690371447142,0.0023696945319150115,0.000769738056647122,0.001797375997430773,0.0003336984163917099,0.0007973371737923009,0.0002733501076101462,0.00024482661812039186,0.00037133357613513586,0.0012206997076078222,0.0005723185344842385,run46_EV_1
