,label,cell
10_run46_Thpo_2,Sinusoidal_endothelial_cells,11
14_run46_Thpo_2,Megakaryocytes,15
15_run46_Thpo_2,Perivascular_myofibroblasts,16
16_run46_Thpo_2,CD45+_hematopoietic_cells,17
32_run46_Thpo_2,Megakaryocytes,33
38_run46_Thpo_2,Megakaryocytes,39
39_run46_Thpo_2,Megakaryocytes,40
40_run46_Thpo_2,Megakaryocytes,41
42_run46_Thpo_2,Megakaryocytes,43
44_run46_Thpo_2,Megakaryocytes,45
45_run46_Thpo_2,Megakaryocytes,46
49_run46_Thpo_2,Megakaryocytes,50
63_run46_Thpo_2,Megakaryocytes,64
68_run46_Thpo_2,Megakaryocytes,69
434_run46_Thpo_2,Perivascular_myofibroblasts,435
435_run46_Thpo_2,Perivascular_myofibroblasts,436
436_run46_Thpo_2,Perivascular_myofibroblasts,437
437_run46_Thpo_2,Vascular_endothelial_cells,438
438_run46_Thpo_2,Perivascular_myofibroblasts,439
439_run46_Thpo_2,Perivascular_myofibroblasts,440
440_run46_Thpo_2,Perivascular_myofibroblasts,441
441_run46_Thpo_2,Spp1+_Osteolineage_cells,442
442_run46_Thpo_2,Erythroid_lineage,443
443_run46_Thpo_2,Spp1+_Immune,444
444_run46_Thpo_2,CD45+_hematopoietic_cells,445
445_run46_Thpo_2,Perivascular_myofibroblasts,446
446_run46_Thpo_2,Perivascular_myofibroblasts,447
447_run46_Thpo_2,Perivascular_myofibroblasts,448
448_run46_Thpo_2,Perivascular_myofibroblasts,449
449_run46_Thpo_2,Perivascular_myofibroblasts,450
450_run46_Thpo_2,CD45+_hematopoietic_cells,451
451_run46_Thpo_2,Perivascular_myofibroblasts,452
452_run46_Thpo_2,Activated_MSCs_CAR_cells,453
453_run46_Thpo_2,CD45+_hematopoietic_cells,454
454_run46_Thpo_2,Perivascular_myofibroblasts,455
455_run46_Thpo_2,CD45+_hematopoietic_cells,456
456_run46_Thpo_2,Megakaryocytes,457
457_run46_Thpo_2,Erythroid_lineage,458
458_run46_Thpo_2,Perivascular_myofibroblasts,459
459_run46_Thpo_2,Perivascular_myofibroblasts,460
460_run46_Thpo_2,Perivascular_myofibroblasts,461
461_run46_Thpo_2,Perivascular_myofibroblasts,462
462_run46_Thpo_2,Removed,463
463_run46_Thpo_2,Sinusoidal_endothelial_cells,464
464_run46_Thpo_2,Erythroid_lineage,465
465_run46_Thpo_2,Perivascular_myofibroblasts,466
466_run46_Thpo_2,Spp1+_Sinusoidal_pericytes,467
467_run46_Thpo_2,Perivascular_myofibroblasts,468
468_run46_Thpo_2,Perivascular_myofibroblasts,469
469_run46_Thpo_2,Perivascular_myofibroblasts,470
470_run46_Thpo_2,Perivascular_myofibroblasts,471
471_run46_Thpo_2,Perivascular_myofibroblasts,472
472_run46_Thpo_2,Perivascular_myofibroblasts,473
473_run46_Thpo_2,Erythroid_lineage,474
474_run46_Thpo_2,Perivascular_myofibroblasts,475
475_run46_Thpo_2,Perivascular_myofibroblasts,476
476_run46_Thpo_2,Perivascular_myofibroblasts,477
477_run46_Thpo_2,CD45+_hematopoietic_cells,478
478_run46_Thpo_2,CD45+_hematopoietic_cells,479
479_run46_Thpo_2,CD45+_hematopoietic_cells,480
480_run46_Thpo_2,Perivascular_myofibroblasts,481
481_run46_Thpo_2,Perivascular_myofibroblasts,482
482_run46_Thpo_2,Perivascular_myofibroblasts,483
483_run46_Thpo_2,Perivascular_myofibroblasts,484
484_run46_Thpo_2,Activated_MSCs_CAR_cells,485
485_run46_Thpo_2,Perivascular_myofibroblasts,486
486_run46_Thpo_2,Perivascular_myofibroblasts,487
487_run46_Thpo_2,Perivascular_myofibroblasts,488
488_run46_Thpo_2,Spp1+_Immune,489
489_run46_Thpo_2,Spp1+_Osteolineage_cells,490
490_run46_Thpo_2,Perivascular_myofibroblasts,491
491_run46_Thpo_2,Perivascular_myofibroblasts,492
492_run46_Thpo_2,Spp1+_Osteolineage_cells,493
493_run46_Thpo_2,Perivascular_myofibroblasts,494
494_run46_Thpo_2,Spp1+_Immune,495
495_run46_Thpo_2,Perivascular_myofibroblasts,496
496_run46_Thpo_2,CD45+_hematopoietic_cells,497
497_run46_Thpo_2,Perivascular_myofibroblasts,498
498_run46_Thpo_2,Perivascular_myofibroblasts,499
499_run46_Thpo_2,CD45+_hematopoietic_cells,500
500_run46_Thpo_2,Perivascular_myofibroblasts,501
501_run46_Thpo_2,Perivascular_myofibroblasts,502
502_run46_Thpo_2,CD45+_hematopoietic_cells,503
503_run46_Thpo_2,CD45+_hematopoietic_cells,504
504_run46_Thpo_2,Spp1+_Osteolineage_cells,505
505_run46_Thpo_2,Erythroid_lineage,506
506_run46_Thpo_2,Megakaryocytes,507
507_run46_Thpo_2,Removed,508
508_run46_Thpo_2,Erythroid_lineage,509
509_run46_Thpo_2,Perivascular_myofibroblasts,510
510_run46_Thpo_2,Spp1+_Osteolineage_cells,511
511_run46_Thpo_2,Removed,512
512_run46_Thpo_2,Erythroid_lineage,513
513_run46_Thpo_2,Erythroid_lineage,514
514_run46_Thpo_2,Perivascular_myofibroblasts,515
515_run46_Thpo_2,Perivascular_myofibroblasts,516
516_run46_Thpo_2,Removed,517
517_run46_Thpo_2,Removed,518
518_run46_Thpo_2,Vascular_endothelial_cells,519
519_run46_Thpo_2,Perivascular_myofibroblasts,520
520_run46_Thpo_2,Spp1+_Osteolineage_cells,521
521_run46_Thpo_2,Erythroid_lineage,522
522_run46_Thpo_2,Perivascular_myofibroblasts,523
523_run46_Thpo_2,Perivascular_myofibroblasts,524
524_run46_Thpo_2,Perivascular_myofibroblasts,525
525_run46_Thpo_2,Perivascular_myofibroblasts,526
526_run46_Thpo_2,Perivascular_myofibroblasts,527
527_run46_Thpo_2,CD45+_hematopoietic_cells,528
528_run46_Thpo_2,Perivascular_myofibroblasts,529
529_run46_Thpo_2,Perivascular_myofibroblasts,530
530_run46_Thpo_2,Perivascular_myofibroblasts,531
531_run46_Thpo_2,Perivascular_myofibroblasts,532
532_run46_Thpo_2,Megakaryocytes,533
533_run46_Thpo_2,Perivascular_myofibroblasts,534
537_run46_Thpo_2,Sinusoidal_endothelial_cells,538
541_run46_Thpo_2,Sinusoidal_endothelial_cells,542
542_run46_Thpo_2,Megakaryocytes,543
543_run46_Thpo_2,Activated_MSCs_CAR_cells,544
546_run46_Thpo_2,Perivascular_myofibroblasts,547
566_run46_Thpo_2,CD45+_hematopoietic_cells,567
567_run46_Thpo_2,Erythroid_lineage,568
601_run46_Thpo_2,Removed,602
614_run46_Thpo_2,Sinusoidal_endothelial_cells,615
634_run46_Thpo_2,Spp1+_Sinusoidal_pericytes,635
635_run46_Thpo_2,Erythroid_lineage,636
636_run46_Thpo_2,CD45+_hematopoietic_cells,637
637_run46_Thpo_2,Removed,638
638_run46_Thpo_2,Removed,639
639_run46_Thpo_2,Erythroid_lineage,640
640_run46_Thpo_2,Spp1+_Sinusoidal_pericytes,641
641_run46_Thpo_2,Spp1+_Osteolineage_cells,642
642_run46_Thpo_2,Removed,643
