,label,cell
0_run46_EV_1,Megakaryocytes,1
1_run46_EV_1,Megakaryocytes,2
2_run46_EV_1,Megakaryocytes,3
3_run46_EV_1,Megakaryocytes,4
4_run46_EV_1,Megakaryocytes,5
5_run46_EV_1,Megakaryocytes,6
6_run46_EV_1,Megakaryocytes,7
7_run46_EV_1,Megakaryocytes,8
8_run46_EV_1,Spp1+_Osteolineage_cells,9
9_run46_EV_1,Spp1+_Osteolineage_cells,10
10_run46_EV_1,Spp1+_Osteolineage_cells,11
11_run46_EV_1,Sinusoidal_endothelial_cells,12
12_run46_EV_1,Sinusoidal_endothelial_cells,13
13_run46_EV_1,Sinusoidal_endothelial_cells,14
14_run46_EV_1,Perivascular_myofibroblasts,15
15_run46_EV_1,Removed,16
16_run46_EV_1,Removed,17
17_run46_EV_1,Removed,18
18_run46_EV_1,Spp1+_Osteolineage_cells,19
19_run46_EV_1,Spp1+_Osteolineage_cells,20
20_run46_EV_1,Spp1+_Osteolineage_cells,21
21_run46_EV_1,Removed,22
22_run46_EV_1,Spp1+_Osteolineage_cells,23
23_run46_EV_1,Removed,24
24_run46_EV_1,Removed,25
25_run46_EV_1,Removed,26
26_run46_EV_1,Removed,27
27_run46_EV_1,Perivascular_myofibroblasts,28
28_run46_EV_1,Removed,29
29_run46_EV_1,Activated_MSCs_CAR_cells,30
30_run46_EV_1,Removed,31
31_run46_EV_1,Removed,32
32_run46_EV_1,Removed,33
33_run46_EV_1,Sinusoidal_endothelial_cells,34
34_run46_EV_1,Spp1+_Osteolineage_cells,35
35_run46_EV_1,Spp1+_Osteolineage_cells,36
36_run46_EV_1,Removed,37
37_run46_EV_1,Removed,38
38_run46_EV_1,Removed,39
39_run46_EV_1,Removed,40
40_run46_EV_1,Sinusoidal_endothelial_cells,41
41_run46_EV_1,Removed,42
42_run46_EV_1,Removed,43
43_run46_EV_1,Removed,44
44_run46_EV_1,Sinusoidal_endothelial_cells,45
45_run46_EV_1,Erythroid_lineage,46
46_run46_EV_1,Erythroid_lineage,47
47_run46_EV_1,Sinusoidal_endothelial_cells,48
48_run46_EV_1,Removed,49
49_run46_EV_1,Perivascular_myofibroblasts,50
50_run46_EV_1,Activated_MSCs_CAR_cells,51
51_run46_EV_1,Spp1+_Sinusoidal_pericytes,52
52_run46_EV_1,Removed,53
53_run46_EV_1,Erythroid_lineage,54
54_run46_EV_1,Sinusoidal_endothelial_cells,55
55_run46_EV_1,Sinusoidal_endothelial_cells,56
56_run46_EV_1,Removed,57
57_run46_EV_1,Sinusoidal_endothelial_cells,58
58_run46_EV_1,Removed,59
59_run46_EV_1,Activated_MSCs_CAR_cells,60
60_run46_EV_1,Removed,61
61_run46_EV_1,Activated_MSCs_CAR_cells,62
62_run46_EV_1,Removed,63
63_run46_EV_1,Perivascular_myofibroblasts,64
64_run46_EV_1,Pericytes,65
65_run46_EV_1,Pericytes,66
66_run46_EV_1,Erythroid_lineage,67
67_run46_EV_1,CD45+_hematopoietic_cells,68
68_run46_EV_1,Sinusoidal_endothelial_cells,69
69_run46_EV_1,Removed,70
70_run46_EV_1,Sinusoidal_endothelial_cells,71
71_run46_EV_1,Removed,72
72_run46_EV_1,Removed,73
73_run46_EV_1,Activated_MSCs_CAR_cells,74
74_run46_EV_1,Activated_MSCs_CAR_cells,75
75_run46_EV_1,Removed,76
76_run46_EV_1,Removed,77
77_run46_EV_1,Removed,78
78_run46_EV_1,Removed,79
79_run46_EV_1,Removed,80
80_run46_EV_1,Perivascular_myofibroblasts,81
81_run46_EV_1,CD45+_hematopoietic_cells,82
82_run46_EV_1,Sinusoidal_endothelial_cells,83
83_run46_EV_1,Removed,84
84_run46_EV_1,Removed,85
85_run46_EV_1,Megakaryocytes,86
86_run46_EV_1,CD45+_hematopoietic_cells,87
87_run46_EV_1,Megakaryocytes,88
88_run46_EV_1,CD45+_hematopoietic_cells,89
89_run46_EV_1,Activated_MSCs_CAR_cells,90
90_run46_EV_1,Removed,91
91_run46_EV_1,Removed,92
92_run46_EV_1,Removed,93
93_run46_EV_1,Removed,94
94_run46_EV_1,Removed,95
95_run46_EV_1,Removed,96
96_run46_EV_1,Erythroid_lineage,97
97_run46_EV_1,Removed,98
98_run46_EV_1,Removed,99
99_run46_EV_1,Removed,100
100_run46_EV_1,Removed,101
101_run46_EV_1,Removed,102
102_run46_EV_1,Removed,103
103_run46_EV_1,Removed,104
104_run46_EV_1,Removed,105
105_run46_EV_1,Removed,106
106_run46_EV_1,Removed,107
107_run46_EV_1,Removed,108
108_run46_EV_1,Removed,109
109_run46_EV_1,Removed,110
110_run46_EV_1,Perivascular_myofibroblasts,111
111_run46_EV_1,Sinusoidal_endothelial_cells,112
112_run46_EV_1,Spp1+_Osteolineage_cells,113
113_run46_EV_1,Spp1+_Osteolineage_cells,114
114_run46_EV_1,Spp1+_Sinusoidal_pericytes,115
115_run46_EV_1,Spp1+_Osteolineage_cells,116
116_run46_EV_1,Spp1+_Osteolineage_cells,117
117_run46_EV_1,Spp1+_Immune,118
118_run46_EV_1,Perivascular_myofibroblasts,119
119_run46_EV_1,Spp1+_Sinusoidal_pericytes,120
120_run46_EV_1,Spp1+_Sinusoidal_pericytes,121
121_run46_EV_1,Removed,122
122_run46_EV_1,Spp1+_Sinusoidal_pericytes,123
123_run46_EV_1,Removed,124
124_run46_EV_1,Removed,125
125_run46_EV_1,Removed,126
126_run46_EV_1,Removed,127
127_run46_EV_1,CD45+_hematopoietic_cells,128
128_run46_EV_1,Sinusoidal_endothelial_cells,129
129_run46_EV_1,Spp1+_Osteolineage_cells,130
130_run46_EV_1,Spp1+_Sinusoidal_pericytes,131
131_run46_EV_1,Spp1+_Osteolineage_cells,132
132_run46_EV_1,Spp1+_Osteolineage_cells,133
133_run46_EV_1,Spp1+_Osteolineage_cells,134
134_run46_EV_1,Spp1+_Osteolineage_cells,135
135_run46_EV_1,Spp1+_Osteolineage_cells,136
136_run46_EV_1,Spp1+_Osteolineage_cells,137
137_run46_EV_1,Erythroid_lineage,138
138_run46_EV_1,Perivascular_myofibroblasts,139
139_run46_EV_1,Spp1+_Osteolineage_cells,140
140_run46_EV_1,Erythroid_lineage,141
141_run46_EV_1,Removed,142
142_run46_EV_1,Erythroid_lineage,143
143_run46_EV_1,Spp1+_Osteolineage_cells,144
144_run46_EV_1,Removed,145
145_run46_EV_1,CD45+_hematopoietic_cells,146
146_run46_EV_1,Removed,147
147_run46_EV_1,Perivascular_myofibroblasts,148
148_run46_EV_1,Removed,149
149_run46_EV_1,Perivascular_myofibroblasts,150
150_run46_EV_1,Perivascular_myofibroblasts,151
151_run46_EV_1,Perivascular_myofibroblasts,152
152_run46_EV_1,Spp1+_Sinusoidal_pericytes,153
153_run46_EV_1,Spp1+_Sinusoidal_pericytes,154
154_run46_EV_1,Perivascular_myofibroblasts,155
155_run46_EV_1,Spp1+_Osteolineage_cells,156
156_run46_EV_1,Spp1+_Immune,157
157_run46_EV_1,Spp1+_Osteolineage_cells,158
158_run46_EV_1,Activated_MSCs_CAR_cells,159
159_run46_EV_1,Pericytes,160
160_run46_EV_1,Perivascular_myofibroblasts,161
161_run46_EV_1,Activated_MSCs_CAR_cells,162
162_run46_EV_1,Activated_MSCs_CAR_cells,163
163_run46_EV_1,Sinusoidal_endothelial_cells,164
164_run46_EV_1,Sinusoidal_endothelial_cells,165
165_run46_EV_1,Sinusoidal_endothelial_cells,166
166_run46_EV_1,Erythroid_lineage,167
167_run46_EV_1,Removed,168
168_run46_EV_1,Erythroid_lineage,169
169_run46_EV_1,Sinusoidal_endothelial_cells,170
170_run46_EV_1,CD45+_hematopoietic_cells,171
171_run46_EV_1,Erythroid_lineage,172
172_run46_EV_1,CD45+_hematopoietic_cells,173
173_run46_EV_1,Megakaryocytes,174
174_run46_EV_1,Removed,175
175_run46_EV_1,Removed,176
176_run46_EV_1,Perivascular_myofibroblasts,177
177_run46_EV_1,Perivascular_myofibroblasts,178
178_run46_EV_1,Removed,179
179_run46_EV_1,Removed,180
180_run46_EV_1,Removed,181
181_run46_EV_1,Perivascular_myofibroblasts,182
182_run46_EV_1,Spp1+_Immune,183
183_run46_EV_1,Activated_MSCs_CAR_cells,184
184_run46_EV_1,Removed,185
185_run46_EV_1,Removed,186
186_run46_EV_1,Removed,187
187_run46_EV_1,CD45+_hematopoietic_cells,188
188_run46_EV_1,Removed,189
189_run46_EV_1,Activated_MSCs_CAR_cells,190
190_run46_EV_1,Removed,191
191_run46_EV_1,Removed,192
