,label,cell
0_run46_Thpo_2,Removed,1
1_run46_Thpo_2,Activated_MSCs_CAR_cells,2
2_run46_Thpo_2,Removed,3
3_run46_Thpo_2,Removed,4
4_run46_Thpo_2,Megakaryocytes,5
5_run46_Thpo_2,Removed,6
6_run46_Thpo_2,Removed,7
7_run46_Thpo_2,Removed,8
8_run46_Thpo_2,Removed,9
9_run46_Thpo_2,Removed,10
10_run46_Thpo_2,Sinusoidal_endothelial_cells,11
11_run46_Thpo_2,Megakaryocytes,12
12_run46_Thpo_2,Removed,13
13_run46_Thpo_2,Removed,14
14_run46_Thpo_2,Megakaryocytes,15
15_run46_Thpo_2,Perivascular_myofibroblasts,16
16_run46_Thpo_2,CD45+_hematopoietic_cells,17
17_run46_Thpo_2,Removed,18
18_run46_Thpo_2,Removed,19
19_run46_Thpo_2,Megakaryocytes,20
20_run46_Thpo_2,Removed,21
21_run46_Thpo_2,Megakaryocytes,22
22_run46_Thpo_2,Removed,23
23_run46_Thpo_2,Removed,24
24_run46_Thpo_2,Megakaryocytes,25
25_run46_Thpo_2,Removed,26
26_run46_Thpo_2,Removed,27
27_run46_Thpo_2,Megakaryocytes,28
28_run46_Thpo_2,Megakaryocytes,29
29_run46_Thpo_2,Removed,30
30_run46_Thpo_2,Removed,31
31_run46_Thpo_2,Sinusoidal_endothelial_cells,32
32_run46_Thpo_2,Megakaryocytes,33
33_run46_Thpo_2,Megakaryocytes,34
34_run46_Thpo_2,Removed,35
35_run46_Thpo_2,Megakaryocytes,36
36_run46_Thpo_2,Removed,37
37_run46_Thpo_2,Activated_MSCs_CAR_cells,38
38_run46_Thpo_2,Megakaryocytes,39
39_run46_Thpo_2,Megakaryocytes,40
40_run46_Thpo_2,Megakaryocytes,41
41_run46_Thpo_2,Removed,42
42_run46_Thpo_2,Megakaryocytes,43
43_run46_Thpo_2,Megakaryocytes,44
44_run46_Thpo_2,Megakaryocytes,45
45_run46_Thpo_2,Megakaryocytes,46
46_run46_Thpo_2,Megakaryocytes,47
47_run46_Thpo_2,Myofibroblasts,48
48_run46_Thpo_2,CD45+_hematopoietic_cells,49
49_run46_Thpo_2,Megakaryocytes,50
50_run46_Thpo_2,Removed,51
51_run46_Thpo_2,Megakaryocytes,52
52_run46_Thpo_2,Megakaryocytes,53
53_run46_Thpo_2,Removed,54
54_run46_Thpo_2,Removed,55
55_run46_Thpo_2,Removed,56
56_run46_Thpo_2,Removed,57
57_run46_Thpo_2,Removed,58
58_run46_Thpo_2,Removed,59
59_run46_Thpo_2,Megakaryocytes,60
60_run46_Thpo_2,Removed,61
61_run46_Thpo_2,Removed,62
62_run46_Thpo_2,Removed,63
63_run46_Thpo_2,Megakaryocytes,64
64_run46_Thpo_2,Megakaryocytes,65
65_run46_Thpo_2,Megakaryocytes,66
66_run46_Thpo_2,Removed,67
67_run46_Thpo_2,Megakaryocytes,68
68_run46_Thpo_2,Megakaryocytes,69
69_run46_Thpo_2,Removed,70
70_run46_Thpo_2,Removed,71
71_run46_Thpo_2,Removed,72
72_run46_Thpo_2,Megakaryocytes,73
73_run46_Thpo_2,Megakaryocytes,74
74_run46_Thpo_2,Removed,75
75_run46_Thpo_2,Removed,76
76_run46_Thpo_2,Megakaryocytes,77
77_run46_Thpo_2,Removed,78
78_run46_Thpo_2,Megakaryocytes,79
79_run46_Thpo_2,Removed,80
80_run46_Thpo_2,Erythroid_lineage,81
81_run46_Thpo_2,Removed,82
82_run46_Thpo_2,Removed,83
83_run46_Thpo_2,Removed,84
84_run46_Thpo_2,Megakaryocytes,85
85_run46_Thpo_2,Removed,86
86_run46_Thpo_2,Megakaryocytes,87
87_run46_Thpo_2,Removed,88
88_run46_Thpo_2,Megakaryocytes,89
89_run46_Thpo_2,CD45+_hematopoietic_cells,90
90_run46_Thpo_2,Removed,91
91_run46_Thpo_2,Removed,92
92_run46_Thpo_2,Megakaryocytes,93
93_run46_Thpo_2,CD45+_hematopoietic_cells,94
94_run46_Thpo_2,Removed,95
95_run46_Thpo_2,Removed,96
96_run46_Thpo_2,Megakaryocytes,97
97_run46_Thpo_2,Sinusoidal_endothelial_cells,98
98_run46_Thpo_2,Megakaryocytes,99
99_run46_Thpo_2,Erythroid_lineage,100
100_run46_Thpo_2,CD45+_hematopoietic_cells,101
101_run46_Thpo_2,Sinusoidal_endothelial_cells,102
102_run46_Thpo_2,Removed,103
103_run46_Thpo_2,Removed,104
104_run46_Thpo_2,Removed,105
105_run46_Thpo_2,Removed,106
106_run46_Thpo_2,Removed,107
107_run46_Thpo_2,Removed,108
108_run46_Thpo_2,Megakaryocytes,109
109_run46_Thpo_2,Removed,110
110_run46_Thpo_2,Removed,111
111_run46_Thpo_2,Erythroid_lineage,112
112_run46_Thpo_2,Removed,113
113_run46_Thpo_2,Megakaryocytes,114
114_run46_Thpo_2,Sinusoidal_endothelial_cells,115
115_run46_Thpo_2,Removed,116
116_run46_Thpo_2,Removed,117
117_run46_Thpo_2,Sinusoidal_endothelial_cells,118
118_run46_Thpo_2,Megakaryocytes,119
119_run46_Thpo_2,Removed,120
120_run46_Thpo_2,Megakaryocytes,121
121_run46_Thpo_2,Removed,122
122_run46_Thpo_2,Removed,123
123_run46_Thpo_2,Megakaryocytes,124
124_run46_Thpo_2,Removed,125
125_run46_Thpo_2,Megakaryocytes,126
126_run46_Thpo_2,Removed,127
127_run46_Thpo_2,Removed,128
128_run46_Thpo_2,Removed,129
129_run46_Thpo_2,Removed,130
130_run46_Thpo_2,Megakaryocytes,131
131_run46_Thpo_2,Megakaryocytes,132
132_run46_Thpo_2,Megakaryocytes,133
133_run46_Thpo_2,Megakaryocytes,134
134_run46_Thpo_2,Megakaryocytes,135
135_run46_Thpo_2,Megakaryocytes,136
136_run46_Thpo_2,Megakaryocytes,137
137_run46_Thpo_2,Activated_MSCs_CAR_cells,138
138_run46_Thpo_2,Removed,139
139_run46_Thpo_2,Megakaryocytes,140
140_run46_Thpo_2,Removed,141
141_run46_Thpo_2,Removed,142
142_run46_Thpo_2,Removed,143
143_run46_Thpo_2,Removed,144
144_run46_Thpo_2,Megakaryocytes,145
145_run46_Thpo_2,Removed,146
146_run46_Thpo_2,Removed,147
147_run46_Thpo_2,Removed,148
148_run46_Thpo_2,Erythroid_lineage,149
149_run46_Thpo_2,Removed,150
150_run46_Thpo_2,Removed,151
151_run46_Thpo_2,Removed,152
152_run46_Thpo_2,Megakaryocytes,153
153_run46_Thpo_2,Removed,154
154_run46_Thpo_2,Megakaryocytes,155
155_run46_Thpo_2,Removed,156
156_run46_Thpo_2,Removed,157
157_run46_Thpo_2,Removed,158
158_run46_Thpo_2,Megakaryocytes,159
159_run46_Thpo_2,Myofibroblasts,160
160_run46_Thpo_2,Megakaryocytes,161
161_run46_Thpo_2,Megakaryocytes,162
162_run46_Thpo_2,Removed,163
163_run46_Thpo_2,Megakaryocytes,164
164_run46_Thpo_2,Megakaryocytes,165
165_run46_Thpo_2,CD45+_hematopoietic_cells,166
166_run46_Thpo_2,Megakaryocytes,167
167_run46_Thpo_2,Megakaryocytes,168
168_run46_Thpo_2,Myofibroblasts,169
169_run46_Thpo_2,Megakaryocytes,170
170_run46_Thpo_2,Megakaryocytes,171
171_run46_Thpo_2,Removed,172
172_run46_Thpo_2,Megakaryocytes,173
173_run46_Thpo_2,Megakaryocytes,174
174_run46_Thpo_2,Megakaryocytes,175
175_run46_Thpo_2,Removed,176
176_run46_Thpo_2,Removed,177
177_run46_Thpo_2,Removed,178
178_run46_Thpo_2,Removed,179
179_run46_Thpo_2,Megakaryocytes,180
180_run46_Thpo_2,Megakaryocytes,181
181_run46_Thpo_2,Megakaryocytes,182
182_run46_Thpo_2,Megakaryocytes,183
183_run46_Thpo_2,Megakaryocytes,184
184_run46_Thpo_2,Megakaryocytes,185
185_run46_Thpo_2,Megakaryocytes,186
186_run46_Thpo_2,Megakaryocytes,187
187_run46_Thpo_2,Megakaryocytes,188
188_run46_Thpo_2,Myofibroblasts,189
189_run46_Thpo_2,Megakaryocytes,190
190_run46_Thpo_2,Megakaryocytes,191
191_run46_Thpo_2,Megakaryocytes,192
192_run46_Thpo_2,Megakaryocytes,193
193_run46_Thpo_2,Megakaryocytes,194
