"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"X127.CD61",0,4.5082383784995,0.796,0.04,0,"Megakaryocytes","X127.CD61"
"Osteopontin.166",0,4.8932483113577,1,0.036,0,"Spp1+_Osteoblasts","Osteopontin.166"
"Col1a.19",3.79298836171619e-99,1.20309229683175,0.516,0.222,6.44808021491752e-98,"Spp1+_Osteoblasts","Col1a.19"
"X32.CD31",1.08708523295729e-59,1.41128854577098,0.262,0.098,1.84804489602739e-58,"Spp1+_Osteoblasts","X32.CD31"
"X149.Endomucin",0,3.85833564795343,0.978,0.079,0,"Sinusoidal_endothelial_cells","X149.Endomucin"
"X51.CD146",0,2.43324792409004,0.3,0.054,0,"Sinusoidal_endothelial_cells","X51.CD146"
"Col1a.191",3.87704506749249e-08,0.265966617906835,0.287,0.231,6.59097661473724e-07,"Sinusoidal_endothelial_cells","Col1a.19"
"Col1a.192",0,2.40427260499122,0.743,0.151,0,"Perivascular_myofibroblasts","Col1a.19"
"X32.CD311",0,2.92368133674785,0.415,0.055,0,"Perivascular_myofibroblasts","X32.CD31"
"X84.NCAM",5.45597340815174e-62,0.88587836077154,0.281,0.152,9.27515479385797e-61,"Perivascular_myofibroblasts","X84.NCAM"
"X82.Vimentin",0,2.58954276726054,0.359,0.06,0,"Activated_MSCs_CAR_cells","X82.Vimentin"
"X11.aSMA",3.28121998666249e-170,0.9796190890389,0.563,0.218,5.57807397732622e-169,"Activated_MSCs_CAR_cells","X11.aSMA"
"Osteopontin.1661",0,3.62515815033949,1,0.077,0,"Spp1+_Sinusoidal_pericytes","Osteopontin.166"
"X149.Endomucin1",1.08047243122364e-158,2.54971145854548,0.959,0.172,1.83680313308019e-157,"Spp1+_Sinusoidal_pericytes","X149.Endomucin"
"Col1a.193",0.000148569292284157,0.578440433236856,0.365,0.236,0.00252567796883066,"Spp1+_Sinusoidal_pericytes","Col1a.19"
"X38.Ter119",0,5.26373136444278,0.939,0.031,0,"Erythroid_lineage","X38.Ter119"
"X149.Endomucin2",1.14294953179272e-238,1.46700588033057,0.462,0.148,1.94301420404763e-237,"Erythroid_lineage","X149.Endomucin"
"X51.CD1461",0,3.82187553221358,0.885,0.072,0,"Pericytes","X51.CD146"
"X84.NCAM1",4.3131847901756e-95,0.956281590767519,0.269,0.139,7.33241414329851e-94,"CD45+_hematopoietic_cells","X84.NCAM"
"X11.aSMA1",0,3.16161198302367,1,0.171,0,"Myofibroblasts","X11.aSMA"
"Col1a.194",5.16523058144244e-45,0.681412563947241,0.376,0.223,8.78089198845214e-44,"Myofibroblasts","Col1a.19"
"Osteopontin.1662",4.77570956246171e-252,3.57826992304037,1,0.08,8.11870625618491e-251,"Spp1+_Immune","Osteopontin.166"
"X158.VE.Cadherin",0,7.1103592151635,0.974,0.008,0,"Vascular_endothelial_cells","X158.VE.Cadherin"
