"from","to","weight"
"pDCs_Mut","Classical_monocytes_Mut",40.00833993
"Macrophages","Classical_monocytes_Mut",40.10727225
"HSPCs_Mut","Neutrophils_Mut",40.272533914
"SPP1_Macrophages_Mut","SPP1_Macrophages",40.38732122
"MK_prog","Macrophages_Mut",40.85273627
"CD16_monocytes_Mut","Macrophages_Mut",40.878643415
"CD16_monocytes_Mut","Neutrophils_Mut",40.99679779
"CD16_monocytes_Mut","Late_Neutro_Prog_Mut",41.0810671
"Macrophages_Mut","HSPCs_Mut",41.43740264
"SPP1_Macrophages_Mut","Late_Neutro_Prog_Mut",41.97199612
"HSPCs","CD16_monocytes_Mut",42.241005634
"OLCs","Neutrophils_Mut",42.24533474
"SPP1_Macrophages_Mut","Classical_monocytes_Mut",43.0604046
"Classical_monocytes_Mut","HSPCs",43.22537232
"GMPs_Mut","pDCs",43.319683165
"CD16_monocytes_Mut","Classical_monocytes_Mut",43.323918605
"Inflammatory_CD14_monocytes_Mut","pDCs",43.45043558
"MK_prog","CD16_monocytes_Mut",43.579650186
"Macrophages_Mut","SPP1_Macrophages_Mut",43.657434014
"Classical_monocytes_Mut","Neutrophils_Mut",43.82429823
"OLCs","pDCs_Mut",43.916601926
"Classical_monocytes_Mut","Macrophages_Mut",44.23185319
"Inflammatory_CD14_monocytes_Mut","Late_Neutro_Prog_Mut",44.34202368
"Inflammatory_CD14_monocytes_Mut","HSPCs_Mut",44.543692994
"SPP1_Macrophages_Mut","Neutrophils_Mut",44.5825757
"GMPs_Mut","Macrophages_Mut",44.81094261
"pDCs","Inflammatory_CD14_monocytes_Mut",45.02274163
"pDCs","CD16_monocytes_Mut",45.04812199
"HSPCs","Inflammatory_CD14_monocytes_Mut",45.071390135
"GMPs_Mut","Inflammatory_CD14_monocytes_Mut",45.16790354
"Inflammatory_CD14_monocytes_Mut","Neutrophils_Mut",45.23877433
"Classical_monocytes_Mut","Late_Neutro_Prog_Mut",45.2990407
"Macrophages_Mut","pDCs",45.35053972
"GMPs_Mut","Late_Neutro_Prog_Mut",45.37758859
"SPP1_Macrophages","SPP1_Macrophages_Mut",45.91327324
"HSPCs_Mut","Inflammatory_CD14_monocytes_Mut",45.966927765
"cDC2_Mut","pDCs",46.19261122
"pDCs_Mut","Inflammatory_CD14_monocytes_Mut",47.077661434
"Macrophages_Mut","pDCs_Mut",47.72450273
"HSPCs","Classical_monocytes_Mut",48.212831386
"SPP1_Macrophages","Late_Neutro_Prog_Mut",48.36732443
"GMPs_Mut","HSPCs_Mut",48.869548449
"Classical_monocytes_Mut","pDCs_Mut",49.14786354
"Classical_monocytes_Mut","SPP1_Macrophages_Mut",49.22665012
"pDCs_Mut","SPP1_Macrophages",49.57057818
"HSPCs_Mut","Classical_monocytes_Mut",49.58732117
"MK_prog","Inflammatory_CD14_monocytes_Mut",49.75186769
"Classical_monocytes_Mut","pDCs",49.84590063
"CD16_monocytes_Mut","HSPCs_Mut",50.023824386
"Neutrophils_Mut","SPP1_Macrophages",50.18816572
"CD16_monocytes_Mut","SPP1_Macrophages_Mut",50.22701709
"SPP1_Macrophages","pDCs_Mut",50.28366093
"MK_prog","Classical_monocytes_Mut",50.477730641
"CD16_monocytes_Mut","pDCs_Mut",50.78428784
"SPP1_Macrophages","GMPs_Mut",52.078844254
"GMPs_Mut","Classical_monocytes_Mut",52.406814444
"GMPs_Mut","SPP1_Macrophages_Mut",52.73258677
"GMPs_Mut","pDCs_Mut",53.18163655
"Macrophages_Mut","SPP1_Macrophages",53.57101976
"pDCs","Classical_monocytes_Mut",53.63045408
"Late_Neutro_Prog_Mut","SPP1_Macrophages",53.732056
"Adipo_CAR","pDCs_Mut",54.41157195
"Adipo_CAR","Neutrophils_Mut",55.02231707
"SPP1_Macrophages","Neutrophils_Mut",55.97492178
"CD16_monocytes_Mut","pDCs",56.424861565
"SPP1_Macrophages","HSPCs_Mut",56.87087347
"SPP1_Macrophages","cDC2_Mut",57.04466431
"OLCs","HSPCs_Mut",58.221382405
"Late_Neutro_Prog_Mut","HSPCs_Mut",58.915399735
"MK_prog_Mut","SPP1_Macrophages",61.513257164
"SPP1_Macrophages","Macrophages_Mut",61.53685601
"HSPCs_Mut","SPP1_Macrophages",63.430232621
"SPP1_Macrophages","Inflammatory_CD14_monocytes_Mut",65.38582783
"cDC2_Mut","SPP1_Macrophages",66.755175109
"Adipo_CAR","HSPCs_Mut",67.633653891
"Inflammatory_CD14_monocytes_Mut","SPP1_Macrophages",68.65142532
"SPP1_Macrophages","CD16_monocytes_Mut",69.21689281
"Classical_monocytes_Mut","SPP1_Macrophages",70.9732909
"Classical_monocytes_Mut","HSPCs_Mut",71.261513502
"SPP1_Macrophages","Classical_monocytes_Mut",71.56708902
"GMPs_Mut","SPP1_Macrophages",76.3927717
"CD16_monocytes_Mut","SPP1_Macrophages",78.425173795
