,allpair,ligpair,recpair,LRScore,type_gene_A,type_gene_B,gene_A,gene_B,source,target,cellpair,interaction_type
113,BCells/Fn1|L@BCells/Cd79a|R,BCells/Fn1|L,BCells/Cd79a|R,1.2374537,Ligand,Receptor,Fn1|L,Cd79a|R,BCells,BCells,BCells@BCells,LR
115,BCells/Fn1|L@OsteoCAR/Sdc2|R,BCells/Fn1|L,OsteoCAR/Sdc2|R,0.6372901,Ligand,Receptor,Fn1|L,Sdc2|R,BCells,OsteoCAR,BCells@OsteoCAR,LR
182,BCells/Lamc1|L@Fibro/Dag1|R,BCells/Lamc1|L,Fibro/Dag1|R,0.28423554,Ligand,Receptor,Lamc1|L,Dag1|R,BCells,Fibro,BCells@Fibro,LR
189,BCells/Lamc1|L@OsteoCAR/Dag1|R,BCells/Lamc1|L,OsteoCAR/Dag1|R,0.3926493,Ligand,Receptor,Lamc1|L,Dag1|R,BCells,OsteoCAR,BCells@OsteoCAR,LR
190,BCells/Lamc1|L@OsteoCAR/Itga1|R,BCells/Lamc1|L,OsteoCAR/Itga1|R,0.5818368,Ligand,Receptor,Lamc1|L,Itga1|R,BCells,OsteoCAR,BCells@OsteoCAR,LR
191,BCells/Lamc1|L@OsteoCAR/Itga9_Itgb1|R,BCells/Lamc1|L,OsteoCAR/Itga9_Itgb1|R,0.18759136,Ligand,Receptor,Lamc1|L,Itga9_Itgb1|R,BCells,OsteoCAR,BCells@OsteoCAR,LR
924,Baso/Igfbp4|L@DC/Lrp6|R,Baso/Igfbp4|L,DC/Lrp6|R,0.28473806,Ligand,Receptor,Igfbp4|L,Lrp6|R,Baso,DC,Baso@DC,LR
927,Baso/Igfbp4|L@Fibro/Lrp6|R,Baso/Igfbp4|L,Fibro/Lrp6|R,-0.10153729,Ligand,Receptor,Igfbp4|L,Lrp6|R,Baso,Fibro,Baso@Fibro,LR
928,Baso/Igfbp4|L@MK/Lrp6|R,Baso/Igfbp4|L,MK/Lrp6|R,-0.1436458,Ligand,Receptor,Igfbp4|L,Lrp6|R,Baso,MK,Baso@MK,LR
929,Baso/Igfbp4|L@MonoPro/Lrp6|R,Baso/Igfbp4|L,MonoPro/Lrp6|R,-0.120146096,Ligand,Receptor,Igfbp4|L,Lrp6|R,Baso,MonoPro,Baso@MonoPro,LR
930,Baso/Igfbp4|L@Neut1/Lrp6|R,Baso/Igfbp4|L,Neut1/Lrp6|R,0.27386066,Ligand,Receptor,Igfbp4|L,Lrp6|R,Baso,Neut1,Baso@Neut1,LR
931,Baso/Igfbp4|L@OsteoCAR/Lrp6|R,Baso/Igfbp4|L,OsteoCAR/Lrp6|R,-0.15361416,Ligand,Receptor,Igfbp4|L,Lrp6|R,Baso,OsteoCAR,Baso@OsteoCAR,LR
932,Baso/Igfbp4|L@Spp1+Mac/Lrp6|R,Baso/Igfbp4|L,Spp1+Mac/Lrp6|R,-0.46506914,Ligand,Receptor,Igfbp4|L,Lrp6|R,Baso,Spp1+Mac,Baso@Spp1+Mac,LR
1004,Baso/Lama5|L@Baso/Itga2_Itgb1|R,Baso/Lama5|L,Baso/Itga2_Itgb1|R,0.25881857,Ligand,Receptor,Lama5|L,Itga2_Itgb1|R,Baso,Baso,Baso@Baso,LR
1005,Baso/Lama5|L@Baso/Itga6_Itgb1|R,Baso/Lama5|L,Baso/Itga6_Itgb1|R,0.27514833,Ligand,Receptor,Lama5|L,Itga6_Itgb1|R,Baso,Baso,Baso@Baso,LR
1006,Baso/Lama5|L@DC/Cd44|R,Baso/Lama5|L,DC/Cd44|R,0.48546022,Ligand,Receptor,Lama5|L,Cd44|R,Baso,DC,Baso@DC,LR
1010,Baso/Lama5|L@Fibro/Dag1|R,Baso/Lama5|L,Fibro/Dag1|R,0.3020574,Ligand,Receptor,Lama5|L,Dag1|R,Baso,Fibro,Baso@Fibro,LR
1011,Baso/Lama5|L@InfiltMac/Cd44|R,Baso/Lama5|L,InfiltMac/Cd44|R,0.5761729,Ligand,Receptor,Lama5|L,Cd44|R,Baso,InfiltMac,Baso@InfiltMac,LR
1012,Baso/Lama5|L@Ly6ClowMac/Cd44|R,Baso/Lama5|L,Ly6ClowMac/Cd44|R,0.47506648,Ligand,Receptor,Lama5|L,Cd44|R,Baso,Ly6ClowMac,Baso@Ly6ClowMac,LR
1013,Baso/Lama5|L@MK/Dag1|R,Baso/Lama5|L,MK/Dag1|R,0.14743818,Ligand,Receptor,Lama5|L,Dag1|R,Baso,MK,Baso@MK,LR
1014,Baso/Lama5|L@MK/Itga6_Itgb1|R,Baso/Lama5|L,MK/Itga6_Itgb1|R,0.22206314,Ligand,Receptor,Lama5|L,Itga6_Itgb1|R,Baso,MK,Baso@MK,LR
1015,Baso/Lama5|L@MonoPro/Itga6_Itgb1|R,Baso/Lama5|L,MonoPro/Itga6_Itgb1|R,0.18908304,Ligand,Receptor,Lama5|L,Itga6_Itgb1|R,Baso,MonoPro,Baso@MonoPro,LR
1016,Baso/Lama5|L@Neut1/Itga6_Itgb1|R,Baso/Lama5|L,Neut1/Itga6_Itgb1|R,0.12610681,Ligand,Receptor,Lama5|L,Itga6_Itgb1|R,Baso,Neut1,Baso@Neut1,LR
1017,Baso/Lama5|L@Neut2/Cd44|R,Baso/Lama5|L,Neut2/Cd44|R,0.40124065,Ligand,Receptor,Lama5|L,Cd44|R,Baso,Neut2,Baso@Neut2,LR
1018,Baso/Lama5|L@OsteoCAR/Dag1|R,Baso/Lama5|L,OsteoCAR/Dag1|R,0.41047114,Ligand,Receptor,Lama5|L,Dag1|R,Baso,OsteoCAR,Baso@OsteoCAR,LR
1019,Baso/Lama5|L@OsteoCAR/Itga9_Itgb1|R,Baso/Lama5|L,OsteoCAR/Itga9_Itgb1|R,0.20541322,Ligand,Receptor,Lama5|L,Itga9_Itgb1|R,Baso,OsteoCAR,Baso@OsteoCAR,LR
1020,Baso/Lama5|L@OsteoCAR/Sdc1|R,Baso/Lama5|L,OsteoCAR/Sdc1|R,0.25456527,Ligand,Receptor,Lama5|L,Sdc1|R,Baso,OsteoCAR,Baso@OsteoCAR,LR
1021,Baso/Lama5|L@Spp1+Mac/Dag1|R,Baso/Lama5|L,Spp1+Mac/Dag1|R,0.14192924,Ligand,Receptor,Lama5|L,Dag1|R,Baso,Spp1+Mac,Baso@Spp1+Mac,LR
1842,DC/Fn1|L@Baso/Cd44|R,DC/Fn1|L,Baso/Cd44|R,-0.903563,Ligand,Receptor,Fn1|L,Cd44|R,DC,Baso,DC@Baso,LR
1843,DC/Fn1|L@Baso/Dpp4|R,DC/Fn1|L,Baso/Dpp4|R,0.8709537,Ligand,Receptor,Fn1|L,Dpp4|R,DC,Baso,DC@Baso,LR
1844,DC/Fn1|L@Baso/Itga2|R,DC/Fn1|L,Baso/Itga2|R,-0.10096514,Ligand,Receptor,Fn1|L,Itga2|R,DC,Baso,DC@Baso,LR
1845,DC/Fn1|L@Baso/Itga4_Itgb1|R,DC/Fn1|L,Baso/Itga4_Itgb1|R,-1.0999166,Ligand,Receptor,Fn1|L,Itga4_Itgb1|R,DC,Baso,DC@Baso,LR
1846,DC/Fn1|L@Baso/Itga4_Itgb7|R,DC/Fn1|L,Baso/Itga4_Itgb7|R,-1.083818,Ligand,Receptor,Fn1|L,Itga4_Itgb7|R,DC,Baso,DC@Baso,LR
1847,DC/Fn1|L@Baso/Itga6|R,DC/Fn1|L,Baso/Itga6|R,-0.10741311,Ligand,Receptor,Fn1|L,Itga6|R,DC,Baso,DC@Baso,LR
1848,DC/Fn1|L@Baso/Nt5e|R,DC/Fn1|L,Baso/Nt5e|R,0.66087973,Ligand,Receptor,Fn1|L,Nt5e|R,DC,Baso,DC@Baso,LR
1849,DC/Fn1|L@DC/Cd44|R,DC/Fn1|L,DC/Cd44|R,-0.14487028,Ligand,Receptor,Fn1|L,Cd44|R,DC,DC,DC@DC,LR
1850,DC/Fn1|L@DC/Itga4_Itgb1|R,DC/Fn1|L,DC/Itga4_Itgb1|R,-0.15255165,Ligand,Receptor,Fn1|L,Itga4_Itgb1|R,DC,DC,DC@DC,LR
1851,DC/Fn1|L@DC/Itga4_Itgb7|R,DC/Fn1|L,DC/Itga4_Itgb7|R,-0.23856646,Ligand,Receptor,Fn1|L,Itga4_Itgb7|R,DC,DC,DC@DC,LR
1852,DC/Fn1|L@DC/Itga5_Itgb1|R,DC/Fn1|L,DC/Itga5_Itgb1|R,0.64044285,Ligand,Receptor,Fn1|L,Itga5_Itgb1|R,DC,DC,DC@DC,LR
1853,DC/Fn1|L@DC/Plaur|R,DC/Fn1|L,DC/Plaur|R,0.7329108,Ligand,Receptor,Fn1|L,Plaur|R,DC,DC,DC@DC,LR
1858,DC/Fn1|L@Ery/Cd44|R,DC/Fn1|L,Ery/Cd44|R,-0.9673625,Ligand,Receptor,Fn1|L,Cd44|R,DC,Ery,DC@Ery,LR
1859,DC/Fn1|L@Ery/Itga4_Itgb1|R,DC/Fn1|L,Ery/Itga4_Itgb1|R,-0.24379945,Ligand,Receptor,Fn1|L,Itga4_Itgb1|R,DC,Ery,DC@Ery,LR
1860,DC/Fn1|L@Ery/Itga4_Itgb7|R,DC/Fn1|L,Ery/Itga4_Itgb7|R,0.6399979,Ligand,Receptor,Fn1|L,Itga4_Itgb7|R,DC,Ery,DC@Ery,LR
1861,DC/Fn1|L@Ery/Itga5_Itgb1|R,DC/Fn1|L,Ery/Itga5_Itgb1|R,0.6493643,Ligand,Receptor,Fn1|L,Itga5_Itgb1|R,DC,Ery,DC@Ery,LR
1862,DC/Fn1|L@Fibro/Cd44|R,DC/Fn1|L,Fibro/Cd44|R,-0.2092799,Ligand,Receptor,Fn1|L,Cd44|R,DC,Fibro,DC@Fibro,LR
