,allpair,ligpair,recpair,LRScore,type_gene_A,type_gene_B,gene_A,gene_B,source,target,cellpair,interaction_type
7,BCells/Adam10|L@Fibro/Axl|R,BCells/Adam10|L,Fibro/Axl|R,-0.042605102,Ligand,Receptor,Adam10|L,Axl|R,BCells,Fibro,BCells@Fibro,LR
14,BCells/Adam10|L@OsteoCAR/Axl|R,BCells/Adam10|L,OsteoCAR/Axl|R,0.3974085,Ligand,Receptor,Adam10|L,Axl|R,BCells,OsteoCAR,BCells@OsteoCAR,LR
15,BCells/Adam10|L@OsteoCAR/Notch2|R,BCells/Adam10|L,OsteoCAR/Notch2|R,-0.39599252,Ligand,Receptor,Adam10|L,Notch2|R,BCells,OsteoCAR,BCells@OsteoCAR,LR
18,BCells/Adam10|L@Spp1+Mac/Axl|R,BCells/Adam10|L,Spp1+Mac/Axl|R,-0.52339506,Ligand,Receptor,Adam10|L,Axl|R,BCells,Spp1+Mac,BCells@Spp1+Mac,LR
19,BCells/Adam10|L@Spp1+Mac/Cadm1|R,BCells/Adam10|L,Spp1+Mac/Cadm1|R,-0.46723026,Ligand,Receptor,Adam10|L,Cadm1|R,BCells,Spp1+Mac,BCells@Spp1+Mac,LR
20,BCells/Adam10|L@Spp1+Mac/Trem2|R,BCells/Adam10|L,Spp1+Mac/Trem2|R,0.1904434,Ligand,Receptor,Adam10|L,Trem2|R,BCells,Spp1+Mac,BCells@Spp1+Mac,LR
27,BCells/Adam17|L@Fibro/Itgb1|R,BCells/Adam17|L,Fibro/Itgb1|R,-0.6975385,Ligand,Receptor,Adam17|L,Itgb1|R,BCells,Fibro,BCells@Fibro,LR
31,BCells/Adam17|L@OsteoCAR/Itgb1|R,BCells/Adam17|L,OsteoCAR/Itgb1|R,-0.013984978,Ligand,Receptor,Adam17|L,Itgb1|R,BCells,OsteoCAR,BCells@OsteoCAR,LR
33,BCells/Adam17|L@Spp1+Mac/Itga5|R,BCells/Adam17|L,Spp1+Mac/Itga5|R,-0.20037207,Ligand,Receptor,Adam17|L,Itga5|R,BCells,Spp1+Mac,BCells@Spp1+Mac,LR
34,BCells/Adam17|L@Spp1+Mac/Itgb1|R,BCells/Adam17|L,Spp1+Mac/Itgb1|R,-0.70888907,Ligand,Receptor,Adam17|L,Itgb1|R,BCells,Spp1+Mac,BCells@Spp1+Mac,LR
36,BCells/Ada|L@Fibro/Dpp4|R,BCells/Ada|L,Fibro/Dpp4|R,0.1631755,Ligand,Receptor,Ada|L,Dpp4|R,BCells,Fibro,BCells@Fibro,LR
40,BCells/Alcam|L@OsteoCAR/Chl1|R,BCells/Alcam|L,OsteoCAR/Chl1|R,-0.2064171,Ligand,Receptor,Alcam|L,Chl1|R,BCells,OsteoCAR,BCells@OsteoCAR,LR
41,BCells/Alcam|L@OsteoCAR/Nrp1|R,BCells/Alcam|L,OsteoCAR/Nrp1|R,-0.2410608,Ligand,Receptor,Alcam|L,Nrp1|R,BCells,OsteoCAR,BCells@OsteoCAR,LR
42,BCells/Apoe|L@Fibro/Lrp1|R,BCells/Apoe|L,Fibro/Lrp1|R,-0.7471722,Ligand,Receptor,Apoe|L,Lrp1|R,BCells,Fibro,BCells@Fibro,LR
43,BCells/Apoe|L@OsteoCAR/Sdc2|R,BCells/Apoe|L,OsteoCAR/Sdc2|R,-0.5415898,Ligand,Receptor,Apoe|L,Sdc2|R,BCells,OsteoCAR,BCells@OsteoCAR,LR
44,BCells/App|L@BCells/Cd74|R,BCells/App|L,BCells/Cd74|R,1.3641838,Ligand,Receptor,App|L,Cd74|R,BCells,BCells,BCells@BCells,LR
47,BCells/App|L@Fibro/Lrp1|R,BCells/App|L,Fibro/Lrp1|R,0.78766906,Ligand,Receptor,App|L,Lrp1|R,BCells,Fibro,BCells@Fibro,LR
