,gene_name,p-value,logFC,-logQ
0,Cst3,3.9975350007650477e-47,3.8953896,46.39820772506201
1,Tmem176b,9.80441826220118e-43,5.188876,42.00857816976887
2,Tpm1,5.465605363243857e-39,4.142446,38.26236172916602
3,Tmem176a,1.7199733464422098e-38,4.81027,37.764478283082425
4,Cp,2.2799801780150338e-38,4.290303,37.64206892870837
5,Serpine2,1.2996708986770887e-37,4.1798677,36.88616660537232
6,Ibsp,4.815343864259366e-37,3.727301,36.31737269441315
7,Cfh,3.9354600831277067e-35,3.8088377,34.40500448823924
8,Spp1,2.6501720225140023e-30,4.3169284,29.576725935118333
9,Bgn,3.6012941240704804e-30,3.5738435,29.443541407580554
10,Limch1,8.36747332046084e-29,4.4284444,28.077405663708173
11,Tnc,2.0653986348256263e-28,3.7791944,27.68499611437228
12,Lifr,2.564334547450406e-28,3.400487,27.591025316659575
13,Ifitm3,1.7228777263546574e-24,3.4123456,23.76374554359305
14,Cxcl12,6.457764780683044e-23,4.413334,22.189917777886805
15,Olfml3,6.166086833617776e-22,4.174409,21.20999036363554
16,Igfbp7,1.4427796527756663e-21,5.531415,20.840799991076132
17,Cdh11,1.2610784465882557e-20,3.2278452,19.899257896883906
18,Wif1,3.0741003826403407e-19,3.9206536,18.512281955016178
19,H2-D1,3.479790111706218e-18,2.366499,17.45844695032835
20,Rpl11,6.37418466767931e-18,2.3722394,17.195575358654512
21,Marcks,7.786087524685684e-18,2.5790327,17.108680718614984
22,Cd63,9.560078687985528e-18,2.3776736,17.019538533077743
23,Olfml2b,2.5392149032417787e-17,3.351824,16.595300541606605
24,Rpl12,1.3699498368883858e-16,2.3210757,15.863295335005215
25,Gja1,1.4793846310596185e-16,3.038417,15.829918897382571
26,Mmp13,2.2096396146113075e-16,2.777731,15.655678552626382
27,Ptprd,6.945432156101419e-16,2.873604,15.158300726575598
28,Ifitm2,7.070760951971422e-16,2.6414325,15.150533845119842
29,Rpl28,7.581191877186633e-16,2.1518424,15.120262511387226
30,Igfbp4,8.393137935845869e-16,2.697,15.076075639476617
31,Cald1,9.05842820918999e-15,3.1413608,14.042947153238766
32,Colec12,2.2201251436541096e-14,3.4524977,13.65362254461845
33,Cyp1b1,2.5811919243613908e-14,5.0932107,13.588179702316955
