,gene_name,p-value,logFC,-logQ
0,Mgp,9.692413621416269e-17,3.9731367,16.013568060726676
1,Tmem176a,6.2969263512885406e-15,1.8056185,14.200871386166897
2,Igfbp7,1.0413927174772597e-14,2.2369878,13.982385463697486
3,Ftl1,5.1081090333295406e-14,2.1773026,13.291739841230864
4,Cst3,1.004229000511462e-13,1.5733529,12.998167241057429
5,Serpine2,4.482216910520946e-13,1.5415001,12.348507130227805
6,Fth1.1,1.5523798727526482e-12,1.1308652,11.809001996703168
7,Tmem176b,3.95888830060632e-12,1.2446117,11.402426751623562
8,Apoe,5.611253235090363e-12,1.4984291,11.250940131203748
9,Spp1,7.967287164131604e-12,4.9844832,11.098689529319909
10,Hp,9.935976478944428e-11,1.5479821,10.002789445254928
11,Ubb,2.0322752049539764e-10,2.8166902,9.692017481476697
12,Ifitm3,3.191723000628148e-10,1.4155815,9.495974806706876
13,Rpl13,4.3670919147372333e-10,1.8337095,9.359807667331442
14,Rps18,1.0098189322476563e-08,1.9149241,7.995756491341452
15,Rpl10,3.1473189308274283e-08,1.7130809,7.5020592460031015
16,C3,6.997860036890384e-08,1.9802227,7.155034748022596
17,H2-D1,1.0879673063572098e-07,0.9163766,6.9633841550808455
18,H3f3b,1.2117164098413562e-07,1.2433033,6.9165990105759
19,Wisp2,1.4916656012476345e-07,2.604803,6.8263285252615455
20,Enpp2,2.3239839747044e-07,3.9573855,6.633766870998336
21,Rpl29,2.7419170745025767e-07,1.9191948,6.5619456839850665
22,Rpl11,5.902149394778213e-07,1.5133631,6.228989801866446
23,Rps3,1.1754580853599158e-06,1.5452614,5.929792852393098
24,Rpl21,1.2979517892183376e-06,1.5129709,5.886741438556675
25,Nupr1,1.6382193765270222e-06,1.7171582,5.785627941625836
26,Rplp0,1.6479833024337486e-06,1.7680187,5.783047192940858
27,Ibsp,1.894214233932175e-06,1.9272257,5.722570904238249
28,Rps2,2.6702367715827044e-06,1.50377,5.573450227761729
29,Col1a1,3.206290344295815e-06,2.0895064,5.4939971528439715
30,Rpl19,3.516690810688761e-06,1.3066125,5.453865813404557
31,Dynll1,4.398629571455658e-06,1.5163274,5.3566826103910765
32,Rps5,9.161060607224266e-06,1.3556095,5.03805424366835
33,Ppib,9.654878053009901e-06,1.4566793,5.015253207253758
34,Pcolce,1.2159369935437558e-05,1.7392647,4.91508892840638
35,Ifitm2,1.412307664254832e-05,1.3865994,4.850070684068064
